content,score
"Aplikasi bibit sangat membantu dlm belajar investasi bagi pemula dan dlm hal menabung juga sangat membantu, karena dapat memperkirakan berapa lama waktu yg dibutuhkan untuk mencapai goal tabungan yg direncanakan. Selain itu, saya sangat mengapresiasi bagaimana bibit bisa membantu para penggunanya, contohnya pada saat akun bibit kita terkena hack oleh pihak lain, saya sangat bersyukur karena dgn bantuan bibit hal tersebut bisa terselesaikan dgn sangat memuaskan. Good job Bibit.",5
"Aplikasi ini sangat membantu dalam hal manage keuangan. Terutama dalam menabung, karena saya menggunakannya. Sudah beberapa kali saya melakukan penarikan dan hasil nya sangat terjamin keamanannya. Semoga apk ini mempertahankan keunggulannya dan tetap berkembang.",5
ini gmnaa yaaa saya udah investasi 1jt udahh hampir seminggu ga naik naik mau di jual jugaa gabisa terus saya coba investasi kn 100ribu Lg siapa tau ada yg eror tp sampe skrng juga blum ada perubahan mau jual pun gada tombol jualnya nuggu 2/3hari kerja padahal udah lebih dari 3hari yg 100ribu sedangkan yg 1jt udah lebih dari 2minggu tolong bgt di kasih solusinya,2
"aslinya sih bagus ya,tapi udah dua kali saya mengalami kerugian tapi bukan karena saya,yang pertama pas aku beli Barito uang nya ga masuk,terus pas udah masuk,pengen cepet cepet beli,eh nilai saham nya sudah naik tinggi banget. terus pernah aku mau beli saham Antam,padahal udah ku beli dan status nya udah open,tiba tiba besok nya ga ke beli,terus uang ku juga tiba tiba kembali,pas aku mau beli lagi,harga saham nya juga udah naik drastis lagi. ga tau ini bug atau apa,tapi ini merugikan saya bange",3
"sedikit saran,bagi saya sebagai kuli untuk upgrade ke bibit plus itu sulit,karna pekerjaan yang tidak formal,untuk mengisi pertanyaan tempat dan alamat kantor itu tidak bisa di isi dengan asal",5
"aplikasinya bgus bngt, tpi yang saya sayangkan saya ngga bisa hapus portofolio saya. padahal semua isi sudah saya pindahkan ke portofolio yang baru. udah lihat bantuan dari aplikasinya tpi tetap ngga ada pilihan untuk hapus portofolio",5
"aplikasi sangat buruk terutama, yang menangapi ketika ad yang bermasalah juga tidak dapat membantu menyelesaikan masalah dalam registrasi , aplikasi ngak guna",1
"pencairan reksa dana katanya maksimal 7 hari ini udah lebih belum cair cair juga,terus udah nanya cs tetep aja malah dikasih tau nya gitu,kecewa berat sih dalam hal pengalaman ini",1
"Kritik & Saran: upaya aplikasi Bibit dalam menyediakan layanan investasi reksa dana yang mudah diakses oleh masyarakat. Namun demikian, saya ingin menyampaikan beberapa masukan terkait kualitas layanan pelanggan. Pertama, Respons Customer service dalam menangani perubahan nomor telepon dan PIN terbilang lambat. Proses ini menjadi kurang efisien dan menyulitkan pengguna, terlebih ketika membutuhkan penanganan cepat untuk menjaga keamanan akun. 🙏🙏🙏😉",3
"Aplikasinya bagus, namun sudah saatnya bibit menambah list produk reksadananya, pilihan produk yang ada sekarang jauh lebih sedikit dibandingkan kompetitor lainnya.",5
Terima kasih sudah diperbaiki keluhan saya tentang Notifikasi dan menu bagian bawah layar tidak bisa diklik di xiaomi 14T. Sekarang sudah normal kembali,5
"aplikasi nya lumayan bagus tapi untuk pelayanan Customer Service nya di WhatsApp lama banget responnya, apalagi saya ini baru pertama kali investasi di aplikasi Bibit ini",3
saat saya pingin buka selalu ga bisa padahal udah berbagi cara saya lakukan tolong dong ini apknya yaa selalu bilang ga ada koneksi padahal saya pakai wifi setalah ganti ke paket data jg sama aja bilang nya priksa koneksi ga jelas banget,2
"cocok bgt untuk pemula tapi sayang harus wajib terhubung sama akun bang jago dan stockbit,KLO ada masalah kayak lupa pw itu udh kayak badut GK bisa NGAPA-NGAPAIN!! (cuman bisa reksa dana aja) bikin pusing knp GK disatuin aja app stockbit sama bibit dan TOLONG dipermudah agar bisa pakai akun selain bank jago, saya ada kendala lupa pw akun bank jago dah lama, akunnya terhubung sama email lama yang saya hapus dikarenakan Handphone saya dicuri beserta dengan nomor handphonenya",1
"Mantap, teman investasi Saya! Hanya saja, Saya menyarankan untuk meminimalisir kendala login pada jam2 market yg baru dibuka.. Misal, Saya sering mengalami kendala login waktu jam 9 pagi atau 1 siang.. Selebihnya aman.. ❤️",4
"Investasi di bibit sangat bagus dan juga mudah produk investasinya juga lengkap tapi, untuk produk investasinya kalo bisa di tambah lagi untuk produk investasi emas dan tabungan umrah/haji untuk lebih lengkap dan bisa juga untuk menjadi tabungan di masa depan.",5
"aplikasi ini sangat berguna sekali untuk pemula, tampilannya user friendly dan mudah dipahami",5
"sebenarnya sudah lama pakai. cuman belum rutin, sekarang coba untuk nabung rutin disini. UI interface mudah digunakan dan simpel cuman minusnya penjelasan untuk orang awam agak susah",5
"ga bisa login ke bibit,padahal lagi trading saham saya,dan koneksi internet lancar dan sudah update bibit appsnya",1
pemakaian mudah tapi wd harus tunggu lama sekali. padahal sudah pilih paling instan. masuk ke rdn jago cepat tapi gak bisa ditarik juga harus wd dari aplikasi lagi terus tunggu 2-7 hari lagi,3
"Aplikasi bibit tidak bisa dibuka, padahal koneksi internet saya aman² saja tidak ada masalah. Tolong 🙏",4
Customer servicenya lama bgt. Di respon berjam-jam hingga keesokan harinya baru di bales. Gua gak ngerekomendasiin deh untuk pakai apk ini.,1
saya udah donlod tapi saat login lamaaaaaaaaa kalii padahal coneksi stabil lancar. sampai 2minggu gk bisa login.,1
aplikasi investasi Reksadana dengan pilihan reksa yang banyak dan pencairan cepat,5
"tolong pihak bibit aset nya ga bisa di jual asik tulisan nya ""penjual hanya bisa saat 2-3 hari jam kerja"" tapi sampai skrng blm bisa di jual....",2
proses verifikasinya lama bgt udh 2 hari blm selesai jadi belum bisa melakukan transaksi...,1
"ribet, login ga bisa dibikin gampang. wajib pake sms lah . misscall lah.",1
"ini termasuk apk investasi buat pemula yg bagus, mantap lah pokoknya",5
"Layak bintang 1 karena tidak di rekomendasikan untuk yang dana nya receh. iseng investasi di RDPU nominal 100 ribu? ternyata pas jual kena fee 3,500 wkwk untung kagak rugi iya wkwk. padahal sebelum beli tulisan nya gratis penjualan wkwk",1
"apk yang bagus, tapi kenapa perbaikan verifikasi data lama sekali ?",4
perbaiki terus sistem apk nya dan fitur pencarian instan,2
aplikasi paling ringan ukuran nya di android paling aman ada opsi login pakai nomor HP dan opsi login pakai akun google pribadi pokoknya lengkap dan paling aman,5
"Thankyou aplikasi Bibit, mengajarkan ku untuk konsisten tabung & sisihkan mulai dari 10K lewat Reksadana (pasar uang) rajin menabung hari ini nikmati passive income di masa depan 😜🥳🙌🌟",5
"mohon bantuannya kenapa saya ngak bisa masuk ke akun bibit,padahal sinyalnya bagus",4
"notif elit masalah sulit, 2 jam tanpa respon cs, intruksi 13.01-13.59 hoax sama aja kyk jam biasa masih 3 hari kerja atau lebih dana baru cair dan saya belum ada kabar berita, fitur instant cair nya seenak jidad ditiadakan atau di adakan seakan-akan kami yang perlu terus buat apa sibuk ngiklan in terus-terus an sampe penuh sama notif dari bibit sudah semau-mau giliran sepi aplikasi teriak-teriak sponsor sana sini inget aplikasi anda bukan satu-satu nya jadi jangan seenak jidad kyk pemerintah",1
bagus tapi kalo bisa reksa dana update datanya setiap hari,4
Saya ciriga apk bibit.di.Ambil Alah Oleh Penjahat.tidak bisa terfrikasi oleh bibit.hurus menugga x 3. 24.terus apk nya gak bisa di buka..Ada yang Anah Kata admin nya di.telegram Isi data lagi harus segera investasi... katanya baru akun bibit terfrikasi.tolong yg berwenang selesai masalah ini!!,5
aplikasi yg sangat mudah dipahami sy sebagai pemula dgn berbagai kemudahan untuk berinvestasi,5
Tadinya saya suka tetapi ada kesalahan penyajian data . CNMA deviden 4 rupiah yang akan dibagikan April nanti 2025. bukan 9 rupiah. Tetapi di sistem corporate actionya ditulis 9. 9 adalah deviden 2024 yang 5 rupiah sudah dibagian di intern dibulan 11 . 4 rupiah nanti di april,1
"Haloo min... apakah apk bibit untuk hari ini ada gangguan?? Seharian mau buka kok tidak bisa,, loading terus??? 7/3/2025",5
"Bibit Sudah Bagus, Kalau Bisa Penjualan Ke RDN Wallet nya tidak ada Biaya Admin nya. supaya Ber Invest Lebih Banyak Mendapatkan Keuntungan tanpa takut ada potongan Admin Ketika Melakukan Penjualan, karena di Bibit Bank Penampung Banyak Dari pihak Bank BCA. Selebihnya termasuk OKE",5
"Saya mau tutup akun permanen, team suport tidak mau kirim formulir, gimana itu. Tidak bisa lagi di chat",1
"Harus tingkat kan lagi pelayanan Biar nasabah saham dan lain2 semakin memuaskan. Contoh Deposit cepat, pembelian saham hrus di percepat, jgn diwaktu pembelian saham tgl nya 24 maret 2025,proses nya tgl 30 maret 2025,itu memperlambat, itu aja",2
"Saya dah coba withdraw ke bank jago yg sudah didaftarkan via bibit, trus untuk mencairkan ke rekening sayanya bagaimana, mohon penjelasannya, satu lagi koq layanan chat di aplikasi bibit off",1
"Kenapa porfolio saham saya saldonya turun padahal lagi turun/389k terus saldo 200k lagi kemana?hilang begitu saja!setelah dihitung total.saya baru mulai di bibit,jangan buat reputasi apk jadi jelek kan katanya udah OJK.tolong kejelasannya!.",1
"pengembang bibit ini gimana sih, saya daftar belum selesai, masih nyangkut di NIK KTP karena pernah buat, jadi saya akhirnya login akun lama pakai NIK itu, pas mau ganti nomer hp, karena hp yang dulu hangus, saya masukin nomer yang baru, notif nya nomer sudah kepake, kan yang baru belum selesai, harusnya nomer hp belum resmi terdaftar, kalian ini bodoh apa gimana sih? buat aplikasinya? gak masuk akal, Kalo registrasi belum berhasil tapi di anggap sudah terdaftar",1
"JANGAN PAKAI APK INI,BACA INI DULU. apk invest yg sangat jelek,setiap kita mau jual portofolio pasti nav nya langsung turun. proses penjualan juga lama,padahal nominal portofolio ga terlalu besar. SANGAT MENGECEWAKAN.",1
Pas buat nabung bulanan dan sangat bagus buat pemula investasi 💝🙏,5
"mudah banget, gampang banget buat pemula yang gak mau ribet kek aku",5
"Wd udah seminggu lebih uangnya kagak masuk ke rekening. Meskipun gw cuma nabung sedikit, gw masih ngarep aja bakal dikirim meskipun kena potongan biaya admin dll",3
"Sangat buruk. Penarikan keuntungan sangat lambat masuk ke rekening tujuan, saya sudah 1 minggu penarikan , tapi gak masuk2 ke rekening bank saya. Mmg bibit2 penipu rakyat. Platform lain penarikan hanya butuh 1 mnit saja.",1
Developer kenapa gak bisa dibuka kok tulisannya reload gak ada jaringan padahal aku buka aplikasi lainnya bisa ada jaringan internet kenapa buka ini kok notifikasi gak ada jaringan,1
"Bibit kenapa ya sering error, padahal jaringan bagus tapi Lola parah. Bikin kesel deh. Pindah aja deh ke Apk lain yang lancaarrrrr..",3
Uang saya tidak bisa ditarik Katanya nunggu 7 hari bursa baru langsung ditransfer mana ini udah hampit 3 minggu gak masuk² uangnya Uang saya hilang sudah dimakan apk Ini bodong ya atau penipuan balikin uang saya,1
Tanggal 12 februari 2025 Aplikasi bibit gak bisa dibuka Reload terus.. apakah akan ada update terbaru apa gimana min? Salam pengguna baru Mohon ditanggapi Terimakasih,1
"Saya dari dulu pengguna bibit, dan saya sangat suka sekali dengan app ini. karna saya benar² nabung yg disiplin aplagi dengan adanya fitur SIP. Di bibit juga kita akan dibantu product apa yg cocok untuk kita, kita lebih condong sebagai investor yang seperti apa misalnya moderat, konservatif, agresif dan lainnya. Pokoknya bibit the best ya di mata saya dan terpercaya. Pertahankan itu bibit!",5
"Top markotop lahh. Pelayanannya bagus bgt, adminnya tanggap² soalnya.",5
pada saat penjualan reksadana pasar uang nominal dana yg masuk ke rekening tidak sesuai dengan apa yg tertera di bukti penjualan nya,1
"Coba aja top up melalui BSI gratis, tambah asyik lagi sih. Apalagi kan syari'ah",5
"Min di sya tidak bisa di buka aplikasi nya knapa ya, pdhl udh update",3
"Susah buat widrawl ketika akun bank sudah mati,, mau ganti harus ke stockbit dulu,, padahal data yang terdaptar sama tapi tidak di terima oleh pihak stockbit Jadi ruet dana tidak bisa di tarik sama sekali,, tau gitu mending dari awal pakek stokbit,, apl ini cuman sebagai perantara saja",1
aplikasi terpercaya.. saran saya untuk kedepannya mungkin aplikasi bibit bisa mempercepat pencairan. Karena mengenal zaman Gen Z yang ingin serba Instan,5
Kenapa aplikasinya ga bisa di buka? kuota masih banyak dan buat youtube an bisa..siyal kuat tp keterangan periksa koneksi internet?!,3
"Kurangnya dari aplikasi ini adlh yang harus menautkan akun ini itu baru bisa investasi dan penarikannya juga lumayan lama, saya melakukan 2 penarikan yang pertama pencairannya maximal 3 hari, lalu saya menarik untuk kedua kalinya dan batas waktunya 2 hari, ini kurang wort it untuk yang butuh dana darurat harus menunggu lama.",3
Chart nya bisa di bantu lebih detail secara real time setiap pergerakan agar mempermudah investor menentukan pilihannya Untuk semua fitur mudah di pahami,5
"Awal.pakai bagus, sekarang pas mau buka aplikasi tidak bisa padahal jaringan saya bagus tapi tulisannya tidak ada internet, tolong segera perbaiki",3
"Alhamdulillah ini aplikasi memang sangat cocok untuk pemula, soalnya mudah dipahami dan tidak ribet dalam penggunaannya.",5
"Kereen banget nih aplikasi, mudah dipahami khususnya pas saya Pertama kali utk investasi Rdpu. Sekarang sudah mulai ke saham untuk jangka panjang. Rekomendasi pokoknya",5
"Bagian registrasi pas perekaman muka selalu gagal, katanya No glare or extreme lightning. Itu padahal cahaya ruangan gak silau, kesel dua minggu tetep gak bisa",1
"Aplikasi stuck di halaman logo, alasannya periksa koneksi, koneksi saya lancar2 saja nih, apa masalah nya dong?",2
"Tolong bantu saya dong cs nya lama bales respon, mau log in tapi ga bisa bisa Katanya email salah No telfon salah giliran mau bikin akun baru bacaannya ,nik sudah terpakai",4
"Woi tolong lah, kalau ada yang mengajukan penjualan itu dipermudah. Ini tiba-tiba harus nunggu 4 hari buat dapat uang hasil penjualan. Saran gue yaa, Kasih tahu yang gede ke user saat pembelian obligasi atau pasar uang jika pencairan penjualanya itu ada waktunya, jangan pas usernya mau jual, baru klen kasih tahu kntllll!!!. Ini kan membuat kalkulasi jadwal user jadi berantakan. Dah gitu aja",1
tidak bisa login ke tautan akun sering error,3
"jujur suka bangettt! keren banget aplikasinya, memudahkan untuk pemula. di aplikasinya juga ada semacam video pembelajaran dan media belajar yang lain, jadi bisa nambah wawasan bagi yang pemula. keren pokonya!",5
apk dengan interface yang mudah di pahami,5
"Aplikasi bibit sangat memudahkan untuk investasi SBN, namun dari segi aksesibilitas masih belum ramah untuk disabilitas netra. Saat bernavigasi menggunakan TalkBack di dalam Bibit, beberapa menu tidak bisa diakses. Misalnya untuk menentukan tanggal, tahun dan bulan tidak bisa diklik. Sedangkan saudaranya yaitu stockbit, hampir semua menu bisa diakses dengan pembaca layar talkback. BTW TalkBack sekarang berubah nama jadi Android accessibility switch. Semoga ke depan ada perbaikan di bibit.",1
Aplikasinya mudah sangat digunakan dan banyak pilihan produk reksa dana. Hanya saja untuk tampilan tidak mendukung dark mode. dimana tidak semua pengguna ponsel suka dengan tampilan aplikasi yg cerah dan berwarna terang seperti saya. Tapi overall semua fitur berfungsi dengan baik 👍🏻,5
"Aplikasi bagus dan user friendly, cuma ada bug yang mengganggu ketika saya ingin melihat grafik saham, awal - awal lancar tapi langsung freeze itu aplikasi gak bisa back ataupun scroll. Semoga segera di fixing ini bug, karena mengganggu banget dan menurunkan experience user dalam menggunakan aplikasi",3
"aplikasi bagus dan gak ribet, investasi jadi mudah sangat rekomend - - sugali - - investasi masa kini sangat terencana mudah digunakan dan ramah untuk pemula, ga takut lagi kalau ga ada arah asal beli saat ingin berinvestasi, karena ad bibit bisa nabung rutin setiap bulan. terima kasih bibit",4
Awalnya pencairan lancar waktu pertama ... skrg mau pencairan dana tiba² ada perbedaan data pada ktp dan norek ... padahal datanya keduanya sama ... terus apknya setelah di update malah reload terus ... maksudnya gimana ya??? Lumayan kan 300 ribu mau diambil ... padahal waktu itu ambil 200 ribu gk ada masalah tuh ...,1
"Hampir setahun pakai aplikasi ini dan pada akhirnya dipaksa buat kecewa.Biaya admin sekarang berlaku dua kali, ketika beli dan jual, belum lagi dipersulit dengan pakai jago juga,biar dapat gratis biaya. Bibit yg dulu merepresentasikan investasi profitable untuk kaum awam, nyatanya sekarang justru nabung untuk kemudian nilainya defisit, karena banyaknya biaya admin/komisi.Pencairan yang lama dan tidak menentu,ditambah tidak jelasnya riwayat penjualan,makin melengkapi kekurangan aplikasi ini.",1
Sangat direkomendasikan untuk anda yg ingin berinvestasi apalagi untuk pemula fiturnya memudahkan pengguna... Dan untuk admin kok akhir2 ini setelah diupdate performanya mulai lambat dan membuka aplikasi terkesan berat padahal ketika membuka aplikasi lain sangat lancar mohon ditingkatkan untuk kenyamanan pengguna,4
"Kecewa banget skrng mau top up aja ada biaya pembayarannya... Kalau diitung itung rugi banget kalau nabung dengan pola yang sering sebulan sampai 5x keatas terlebih saya konsennya di RDPU yg keuntungannya kecil, malah biaya pembayarannya lebih besar ketimbang keuntungannya",2
"Lebih mudah dari yang saya bayangkan. Setelah 2 bulan menggunakan aplikasi ini, tidak ada kesulitan yang berarti, awal menggunakan agak bingung karena kurang teliti memahami petunjuk penggunaannya. Saya berharap Bibit dapat konsisten mempertahankan kualitas pelayanan. Terima kasih, Bibit.",5
"Awalnya liat iklan ini di ig. Menarik juga jdi saya coba. Mungkin karena pengguna baru, jadi kesan pertama ga memuaskan. Waktu registrasi lancar, tapi selanjutnya masih belum bisa dipakai. Mungkin pihak developer nya masih survei data diri kali ya (nih org bener ato kagak)... Nunggu lama, sedangkan saya pingin cepat bisa pakai. Kesimpulan akhir, saya unninst. Mungkin buat pengguna lain (yg lebih serius dari saya, maybe) bisa puas pakai apk ini.",3
"Aplikasi yang memudahkan buat orang yg susah nabung kayak saya jadi tergoda utk nabung. Fiturnya oke, pilihannya gak kebanyakan jadi gak tambah bingung. Fitur chatnya sangat membantu fast respon. Pengelolaan penggunanya keren sih bisa update dan ngasih info2 utk semakin belajar.",5
bagus fiturnya dan bisa dipakai dengan aman,5
"Hi Bibit! Aplikasi yang anda buat cukup bagus. Tapi sayangnya masih ada kekurangan dalam pencairan dananya. Bagaimana saya mau top up untuk dana darurat saya, jika pencairannya membutuhkan Waktu yang beberapa hari. Yang menurut saya sekarang sangatlah memakan waktu yang cukup lama. Tolong untuk pencairannya di percepat lagi! Terimakasih!",3
Saya suka tampilan awal & latar belakangnya. Tutorial utk pengalaman sbgi pemula sangat terbantu. Admin nya juga membantu jika ada kesalahan saat menginput data. Robo-Advisor membantu ketika memilih Reksadana yg cocok bagi Profil Resiko.,5
"Alhamdulillah,semoga terus mendukung kalangan kecil untuk berinvestasi. Aplikasi Bibit mudah dipahami,cuma hanya belum sepenuhnya support untuk disabilitas tunanetra. Mohon bantuannya agar dikembangkan lagi supaya teman2 tunanetra bisa dengan mudah berinvestasi melalui bibit.",5
Sudah pakai bibit 2 tahunan dulu takut takut mau coba tapi sekarang udah mulai nyaman eh taunya bulan ini ada biaya untuk bayar banknya padahal aku sebulan bisa 2 sampai 3 kali transaksi masukin uang. Akhirnya mau ga mau jadi nyoba upgrade bibit plus. Semoga kedepannya tetap dan lebih aman serta memudahkan pengguna ya. Masih agak agak takut pakai bank digital soalnya,4
Aplikasi registrasi pendaftarannya sangat mudah dan sangat membantu .itulah mengapa saya pilih bibit.dan pengalaman saya berinvestasi pertama kali bisa di tutun atau diarahkan..oleh robo. Dan yg penting cara pembayaran transaksinya kita bisa memilih ada 3 cara pembayaran ..pokok nya mantap deh..BIBIT..,5
"Aplikasinya baguss banget,tapi semoga kedepannya opsi pilihan rdnnya ditambahkan lagi jgn cuman bca sama bank jago doang,selebihnya bagus",5
"Sebenarnya bibit sangat membantu dan menolong saya investasi utk hari tua, tapi plis tingkatin lagi dalam bagian pencairan, jangan terlalu lama(kejadian disaya 1 minggu), dan juga biaya transaksi, jujur dlu saya suka nabung sebulan bisa lebih 2-3x, tapi semenjak ada biaya tambahan mau ga mau cmn 1x sekarang 🙏🏻",4
"Menurut pendapatku mengenai aplikasi bibit bagus untuk invesment pemula krna fitur nya mudah & sangat mudah di pahami, setelah saya memakai bibit alhamdulillah bisa mendapatkan keuntungan walaupun tdak terlalu besar, sangat bagus banget untuk pemula",5
"Semakin kesini semakin tidak bisa dengan mudah diakses aplikasi bibit, setiap buka aplikasi bibit pasti error cek koneksi, padahal jaringan super lancar, wifi dan provider buat streaming lancar, bintang 1 buat developer bibit",1
Begini saya senang top up reksadana walaupun tidak banyak. Cuman kok sekarang bayar ya kalau mau top upnya. Padahal uang yg di top up gak banyak. Pen nabung pelan2. Tapi malah gini. Dan lagi ketika kita sudah jual reksadananya kok malah tidak sama seperti sebelum jual.. Walaupun setelah potong biaya? Mohon diperbaiki apalagi setelah di upgrade makin gak2 aja.,4
"Bintang 3 point plus, mines bintang 2 kekurangannya, karena proses pembelian/topupnya lama banget, dan juga penarikan pemindahan saldo ke bank lama banget prosesnya, 3 hari baru beres proses transaksi ny, kalo lagi butuh ngedadak agak ruwet, harus nunggu bberapa hari baru masuk ke rekening buat penarikan. Overall bagus semua dan pengawasan ketat🤟",3
"saya sudah buat akun bibit, tapi email saya sudah tidak dipakai dan mau verifikasi ulang pin, bagaimana cara nya",4
"Sudah saatnya Bibit memiliki mode gelap (dark mode), belum mendukung sistem navigasi android 12 sehingga ketika saat melakukan pembelian masih mudah untuk keluar aplikasi. padahal hanya sekedar melakukan gestur kembali untuk membatalkan pada opsi pembelian. Tampilan portofolio butuh dipercantik agar bisa senada dengan Android 12. Mohon dioptimalkan kembali pada android dengan prosesor exynos 9820/9825 series",1
"Aplikasi Investasi Reksadana yang sangat mudah untuk dimengerti! Ada beberapa penjelasan untuk investor pemula dan juga diberi beberapa panduan untuk belajar, sangat direkomendasikan untuk mendaftar reksadana walaupun dengan nominal yang tidak banyak, dan juga UI yang sangat bersahabat dan ringan, tidak bertele tele. kekurangan aplikasi ini ialah kekurangan nya fitur tema gelap, dikarenakan warna putih sangat menyakitkan bagi mata saya, apabila fitur itu sudah ada bintagnya akan saya naikkan.",4
Bibit terbaik sih banyak juga promo nya mudahan bisa konsisten invest nya biar cepat mencapai goals di tahun 2025 ini,5
"Aplikasi nya bagus. cuma pelayanan jika ada kendala login atau yang lain, gak ada customer care yg bisa di telpon untuk solusi yg cepat. Karena kalau cuma by whatsapp, balesannya gak cepat dan kurang puas dalam layanan solusi kendalanya.",4
verifikasinya kenapa lama sekali ya saya udah 2 hari nunggu belum selesai selesai,3
"Aplikasinya mantap, mudah kita memilih reksadananya sesuai dengan profil resiko kita dan adanya rekomendasi bibit. Tapi, saya berharap nantinya, Bibit bisa menambahkan metode pembayarannya dg menggunakan aplikasi Jenius, Dana, OVO, Internet/mobile banking seluruh bank. Serta saya berharap nantinya di aplikasi Bibit bisa menyediakan fitur utk bisa membeli investasi obligasi pemerintah seperti SBN, Sukuk, dan lain-lain.",5
Ruet banget saya sudah verifikasi berkali kali gk berhasill padahal data diri lengkap dan murni visi nya doang apk untuk pemula tapi ruet dan cs service nya tidak memberi solusi apa punn gk jadi dah main bibit!!!!!!! Sama kaya apk bank jago cuman nyolong data doang!!!!,1
"Persyaratan Reactive akun nya ribet, sampe disuruh foto megang tulisa dan haru ditempat yang sama. Padahal cuma mau aktifkan akun doang sudah kayak apa aja pake foto sambil megang tulisan angka. Tolong revisi persyaratan yang terlalu rumit itu lagian biar apa dibikin begitu?!!!",1
Belakangan ini tiap mau buka bibit lemot banget. Padahal jaringan buat buka aplikasi lain bagus,1
Update harganya tidak realtime. Harus nunggu keesokan harinya baru tau pergerakan harganya.,4
"Sudah hampir 3 tahun, Pengalaman yang menarik, UI nya mudah digunakan, Returnnya menarik, dan sejauh ini benar benar memuaskan, Good 🔥🔥🔥",5
"Udah lama daftar, akhirnya coba Reksadana disini, baru seminggu ini.. cukup mudah dipahami..",5
tolong untuk bibit tambah lagi perusahaan²nya biar kita bisa leluasa memilih tempat invest itu saja kekurangannya,5
Ini kenapa dana yang masuk ilang 50k padahal jumlah yg dijualnya aja sedikit. Saya bukannya untung malah buntung,1
Apk cacad...lambat..penarikan kecil udh 3 hari belum selesai juga..apalagi yg dana nya gede yach...auto nanggggissssss,1
gk bisa kebuka terus app nya.. makin lama makin ancur,2
Apasi susah kali daftar 😑 Udah Poto KTP dan Wajah nungu 24jam ga berhasil coba ke dua tiga kali lagi masih gagal 😑 4 kali gagal terus 😑 daftar aja makan waktu semingu lebih udah d bikin kesel duluan😭😭🤣🤣🤣🤣🤣 tolong lah aku sudah mengikuti petunjuknya Masi aja gagal daftar😂,2
"Pencairan lama, verifikasi data tenggat waktunya lama. Hadeehh",2
Kenapa ya kalau udah app bibit gak bisa padahal jaringan bagus aja min,3
"Saya juga tau verifikasi itu penting. Tp Cs Anda bertele2 dan terkesan ngerjain. Probing datanya gak sekalian, dan gak jelas arahannya. Sudah lampirin semua data tiba2 disuruh ajuin ulang dengan alasan baju yg saya pakai berbeda di foto selfi dengan foto memegang data. Dan harus memakai baju yang sama. Coba deh cek lagi history chat saya dengan CS anda.. perhatikan lagi SOP nya",1
"witdraw nya ribey harus nunggu proses 2 -3 hari kerja , lama sekali,",2
"untuk ke depan nya,transaksi jual beli reksa dana nya mohon di percapat",5
aplikasi nggak bisa dibuka dan jika buat akun katanya beda orang padahal sama aja cuman itu KTP pas masa sma sudah 6 tahun yakali buat KTP baru,1
